gamma;sigma;type;method;sa_RMSE;weekly_RMSE;yearly_RMSE;trend_RMSE;remainder_RMSE;time;nb_years
0.6;;Deterministic DGP;TBATS;0.115084190026296;0.0456883152351781;0.10474635187239;0.127298790392358;0.142925447030318;15.9586261940002;3
0.6;;Deterministic DGP;PROPHET;0.106568713767745;0.0417119765053587;0.0973142162240045;0.0630913459739995;0.109568982302084;1.32973899364471;3
0.6;;Deterministic DGP;MSTL;0.390926759057449;0.194508622466701;0.32823670316425;0.0815561029067113;0.397470292853948;0.0368159484863281;3
0.2;0.025;Stochastic DGP;X11;;;;;;;3
0.2;0.025;Stochastic DGP;STL;0.374514747145716;0.181519424837023;0.325011607615161;0.233761843021808;0.262095955817483;0.03669264793396;3
0.2;0.025;Stochastic DGP;AMB;0.2560648591341;0.0620917858206421;0.246764056702588;0.243041584757432;0.104639566318795;3.21244394302368;3
0.2;0.025;Stochastic DGP;MAMB;0.269162430830268;0.0853418663807388;0.266464576514956;0.166825686012696;0.199347625907032;4.66748494625092;3
0.2;0.025;Stochastic DGP;TBATS;0.28346393597687;0.0977910371757297;0.26163887786073;0.279160634455949;0.124175711725485;16.3592427968979;3
0.2;0.025;Stochastic DGP;PROPHET;0.428869793855591;0.135384881913972;0.399083607983204;0.374067256261825;0.173941804330094;2.13043811798096;3
0.2;0.025;Stochastic DGP;MSTL;0.280515542923544;0.0682474059399267;0.270935609984657;0.15459141181838;0.295607483328774;0.0088715410232544;3
0.4;0.05;Stochastic DGP;X11;;;;;;;3
0.4;0.05;Stochastic DGP;STL;0.488324284919015;0.363533651939252;0.318834084795559;0.221106235209511;0.417457417768454;0.0360714340209961;3
0.4;0.05;Stochastic DGP;AMB;0.282392051271414;0.108449545563166;0.258431886467182;0.240685632325975;0.179548633220083;2.49972945213318;3
0.4;0.05;Stochastic DGP;MAMB;0.428149726542152;0.147216259894554;0.423477588450682;0.149399334671311;0.39776804119502;4.65883869171143;3
0.4;0.05;Stochastic DGP;TBATS;0.391786372893805;0.204295105529762;0.305258920927089;0.328258769717188;0.237824226782928;16.8910945224762;3
0.4;0.05;Stochastic DGP;PROPHET;0.420894537429299;0.264158555260394;0.304234819160902;0.246456815442255;0.309513674498412;1.80099795818329;3
0.4;0.05;Stochastic DGP;MSTL;0.351364241934962;0.139778418655514;0.320502376107519;0.133938827483267;0.356640871240464;0.0111378955841064;3
0.6;0.075;Stochastic DGP;X11;;;;;;;3
0.6;0.075;Stochastic DGP;STL;0.644081467335475;0.545523591032549;0.32953961094799;0.226964339105413;0.59307314546752;0.0381750679016113;3
0.6;0.075;Stochastic DGP;AMB;0.308344474799683;0.142660358260812;0.272131516765119;0.235496874570735;0.240083658753184;2.24408073425293;3
0.6;0.075;Stochastic DGP;MAMB;0.60259957950026;0.184190547702887;0.58767406255313;0.142986246101933;0.584246429671402;3.63917229175568;3
0.6;0.075;Stochastic DGP;TBATS;0.403383075166347;0.26739393211316;0.282741194739403;0.322643457540354;0.339798332058532;17.2176437187195;3
0.6;0.075;Stochastic DGP;PROPHET;0.442174807310504;0.343014346489607;0.263368259637588;0.17400003367178;0.393755226458157;1.36162907600403;3
0.6;0.075;Stochastic DGP;MSTL;0.454001935158484;0.20362288892382;0.400398100795149;0.145078108636883;0.464622318742929;0.0107419013977051;3
0.2;;Deterministic DGP;X11;;;;;;;4
0.2;;Deterministic DGP;STL;0.237001812300229;0.18114674775114;0.149020538436176;0.12202915052277;0.191534036830088;0.0611395645141602;4
0.2;;Deterministic DGP;AMB;0.0845568520375124;0.014486605474328;0.0825947838950835;0.0687535338555119;0.0791244610628932;2.7154395198822;4
0.2;;Deterministic DGP;MAMB;0.281633382071145;0.0383122850298883;0.253884548437403;0.185320317601325;0.195666921674573;3.23375516414642;4
0.2;;Deterministic DGP;TBATS;0.0641755184454073;0.012553262602351;0.062825564495512;0.0709411842224144;0.059806380336929;16.7052445840836;4
0.2;;Deterministic DGP;PROPHET;0.067304808261715;0.0126172305951145;0.0660119863885145;0.0446067605093129;0.053737957429166;1.79161183834076;4
0.2;;Deterministic DGP;MSTL;0.124072941973484;0.0650103446457241;0.102829684165981;0.04747231634982;0.131030678426796;0.0262304067611694;4
0.4;;Deterministic DGP;X11;;;;;;;4
0.4;;Deterministic DGP;STL;0.403310983530773;0.363822750679684;0.164668131519473;0.129008851370997;0.378031311141043;0.0503817653656006;4
0.4;;Deterministic DGP;AMB;0.125269620572227;0.02663578322024;0.121779099180624;0.0910389110121832;0.136449941189331;2.40243900775909;4
0.4;;Deterministic DGP;MAMB;0.401145831360392;0.057534616887257;0.364018039195156;0.105077306553966;0.380875289306859;3.10327875137329;4
0.4;;Deterministic DGP;TBATS;0.0780387204960295;0.0289016685796329;0.0719926175264763;0.0924034868986182;0.0984471228495156;17.0942279434204;4
0.4;;Deterministic DGP;PROPHET;0.0749157140144143;0.0250392348275665;0.0702369126955912;0.0431772232911439;0.0760255377861254;1.63086643218994;4
0.4;;Deterministic DGP;MSTL;0.236645791154589;0.129813589331818;0.191834910242505;0.0482060441475246;0.241035703865124;0.0351074743270874;4
0.6;;Deterministic DGP;X11;;;;;;;4
0.6;;Deterministic DGP;STL;0.577994715530563;0.544528987002668;0.176813006570008;0.133780341955116;0.563015810604314;0.0520776796340942;4
0.6;;Deterministic DGP;AMB;0.171810659881338;0.0388039260608394;0.166364857253174;0.113358948228703;0.189215275949133;2.22012132644653;4
0.6;;Deterministic DGP;MAMB;0.55608529290661;0.0825140125372922;0.502391198883836;0.101286105694717;0.534764753756522;2.97790644168854;4
0.6;;Deterministic DGP;TBATS;0.101051750120621;0.0393677999203007;0.092093619560308;0.112565286401581;0.131227121966389;16.4942584562302;4
0.6;;Deterministic DGP;PROPHET;0.0955952660341924;0.0354575029163979;0.0881883492587335;0.0499953475838158;0.101498018128612;1.41855755329132;4
0.6;;Deterministic DGP;MSTL;0.352712488203368;0.197962350774353;0.28200009296069;0.0584433162156081;0.356338179570991;0.0146964311599731;4
0.2;0.025;Stochastic DGP;X11;;;;;;;4
0.2;0.025;Stochastic DGP;STL;0.325249627280244;0.18157661887035;0.267888560076065;0.161306157065116;0.262572983821736;0.047983922958374;4
0.2;0.025;Stochastic DGP;AMB;0.256110805516144;0.0701781837791377;0.244366871256705;0.241572122045543;0.109515416602617;3.0888683795929;4
0.2;0.025;Stochastic DGP;MAMB;0.245040144352052;0.102461719015631;0.250782885362796;0.134247057180574;0.199527884376629;4.31952049732208;4
0.2;0.025;Stochastic DGP;TBATS;0.306033909944769;0.13185034569741;0.266140848791989;0.295116637318875;0.141293623262261;19.6107436466217;4
0.2;0.025;Stochastic DGP;PROPHET;0.396333153968822;0.19184868039763;0.33506962277211;0.28193759021114;0.248307387706147;2.39521333217621;4
0.2;0.025;Stochastic DGP;MSTL;0.266015700528398;0.0712048550037363;0.255886281637215;0.114127996709518;0.281292934038152;0.0111143732070923;4
0.4;0.05;Stochastic DGP;X11;;;;;;;4
0.4;0.05;Stochastic DGP;STL;0.465406730273526;0.361432394615397;0.286402010371964;0.172919315663032;0.420919652076804;0.049296612739563;4
0.4;0.05;Stochastic DGP;AMB;0.289097638366731;0.097699624373162;0.270354168322485;0.258997921485953;0.167044607436175;2.29027027606964;4
0.4;0.05;Stochastic DGP;MAMB;0.403651626894745;0.138997423665409;0.394384405958259;0.094805059921302;0.39187952270351;4.73988856315613;4
0.4;0.05;Stochastic DGP;TBATS;0.380286641082936;0.185504183059347;0.31425164359248;0.343681813644916;0.235400492609327;19.0784492015839;4
0.4;0.05;Stochastic DGP;PROPHET;0.425498372424954;0.296670021450166;0.287657772209506;0.185071882447326;0.363312322174424;2.04401352882385;4
0.4;0.05;Stochastic DGP;MSTL;0.338985173688082;0.135598200773863;0.30743975122461;0.087339045267448;0.340681249119662;0.0176063585281372;4
0.6;0.075;Stochastic DGP;X11;;;;;;;4
0.6;0.075;Stochastic DGP;STL;0.630393991096793;0.541850690194125;0.3102864405219;0.183444182506888;0.596487300586737;0.0492527961730957;4
0.6;0.075;Stochastic DGP;AMB;0.338905235831921;0.147361941883079;0.30297392566985;0.279824573093472;0.236380375799373;2.30612329483032;4
0.6;0.075;Stochastic DGP;MAMB;0.584456662844963;0.188745385452438;0.567713131915932;0.109090733545993;0.573832872635444;4.05250710010529;4
0.6;0.075;Stochastic DGP;TBATS;0.498787525191957;0.302323646614164;0.364271372258108;0.42257375678947;0.341825127867318;18.427062997818;4
0.6;0.075;Stochastic DGP;PROPHET;0.532578462296694;0.427901173428195;0.296211016113792;0.155556127698189;0.496885192365429;1.74149464130402;4
0.6;0.075;Stochastic DGP;MSTL;0.439568453462212;0.205132751913536;0.383937601525866;0.101086118257213;0.443367945863998;0.0235784292221069;4
0.2;;Deterministic DGP;X11;0.130048580536982;0.0622713659110658;0.113712219856128;0.0340641390230884;0.130130593609008;0.144749245643616;5
0.2;;Deterministic DGP;STL;0.226475870651507;0.181588499808129;0.132535629897718;0.098257746027017;0.197249934164389;0.0629233074188232;5
0.2;;Deterministic DGP;AMB;0.079052479333448;0.0126575027455049;0.0777507678896565;0.0641042467648769;0.0756268705294739;2.91803847789764;5
0.2;;Deterministic DGP;MAMB;0.252551611440307;0.0346611508840603;0.226333400330727;0.144060902356597;0.188944518543352;2.87219498157501;5
0.2;;Deterministic DGP;TBATS;0.063400823046733;0.0117267977784191;0.0622026703980703;0.0686624404378998;0.0580581836084807;17.7324532604218;5
0.2;;Deterministic DGP;PROPHET;0.0610582907252841;0.011488359528398;0.0598489852176543;0.0349661005241974;0.0532880851813616;1.84651645183563;5
0.2;;Deterministic DGP;MSTL;0.128417307337746;0.0655821732064868;0.108065367988214;0.0307718633040233;0.130645560358203;0.0139686012268066;5
0.4;;Deterministic DGP;X11;0.249414772515669;0.124152446373766;0.215096060303916;0.042785899048873;0.250867604145502;0.185161485671997;5
0.4;;Deterministic DGP;STL;0.393012285229066;0.363395519853876;0.141180211137935;0.100981068723828;0.379183040418396;0.0620415449142456;5
0.4;;Deterministic DGP;AMB;0.122059163995899;0.0246909708110189;0.118947207409009;0.0866096834510341;0.132758881621858;2.46891268253326;5
0.4;;Deterministic DGP;MAMB;0.377736634165477;0.0541171743865804;0.331442804368973;0.0972826635187086;0.346809528704921;2.69840834140778;5
0.4;;Deterministic DGP;TBATS;0.0750658115695627;0.0238808473537076;0.0706534670395808;0.0841804187521657;0.0953303304144475;16.9027602434158;5
0.4;;Deterministic DGP;PROPHET;0.0724020253083881;0.0222917817810558;0.0685684560426936;0.0355335414840138;0.0756558720907516;1.72349231243134;5
0.4;;Deterministic DGP;MSTL;0.228326189037045;0.131566691703332;0.180904013881072;0.0362757714978642;0.230574131708082;0.0106567096710205;5
0.6;;Deterministic DGP;X11;0.370476154276175;0.184979437874525;0.319013192957506;0.0536750228443856;0.373027517418674;0.187965574264526;5
0.6;;Deterministic DGP;STL;0.571495396831701;0.545259163804877;0.155241425697619;0.106748606682843;0.563727297531387;0.0613755464553833;5
0.6;;Deterministic DGP;AMB;0.161510976841606;0.0349804888781844;0.156715686397024;0.103937778939671;0.180727038698758;2.56144087314606;5
0.6;;Deterministic DGP;MAMB;0.520065428931816;0.0783775356542894;0.464092400752543;0.0726817519557968;0.496978370764576;3.87769184112549;5
0.6;;Deterministic DGP;TBATS;0.0898006185949177;0.0349585060213249;0.081899475419924;0.103609325919723;0.122636770142757;17.2686825275421;5
